rank,title,total ratings,installs,average rating,growth (30 days),growth (60 days),price,category,5 star ratings,4 star ratings,3 star ratings,2 star ratings,1 star ratings,paid
1,Garena Free Fire- World Series,86273129,500.0 M,4,2.1,6.9,0.0,GAME ACTION,63546766,4949507,3158756,2122183,12495915,False
2,PUBG MOBILE - Traverse,37276732,500.0 M,4,1.8,3.6,0.0,GAME ACTION,28339753,2164478,1253185,809821,4709492,False
3,Mobile Legends: Bang Bang,26663595,100.0 M,4,1.5,3.2,0.0,GAME ACTION,18777988,1812094,1050600,713912,4308998,False
4,Brawl Stars,17971552,100.0 M,4,1.4,4.4,0.0,GAME ACTION,13018610,1552950,774012,406184,2219794,False
5,Sniper 3D: Fun Free Online FPS Shooting Game,14464235,500.0 M,4,0.8,1.5,0.0,GAME ACTION,9827328,2124154,1047741,380670,1084340,False
6,Call of Duty®: Mobile - Season 4: Spurned & Burned,13572148,100.0 M,4,2.0,4.0,0.0,GAME ACTION,10501443,1274162,517273,268489,1010778,False
7,Among Us,11936964,100.0 M,3,1.8,5.6,0.0,GAME ACTION,5954262,1041297,853099,719378,3368926,False
8,Temple Run 2,9633929,500.0 M,4,0.3,0.8,0.0,GAME ACTION,6579369,991341,614643,349003,1099571,False
9,PUBG MOBILE LITE,7578630,100.0 M,4,1.0,2.5,0.0,GAME ACTION,5382545,500696,351523,238986,1104879,False
10,Gangstar Vegas: World of Crime,6268377,100.0 M,4,0.4,1.0,0.0,GAME ACTION,4509647,605510,319332,167792,666094,False
11,Pixel Gun 3D: FPS Shooter & Battle Royale,5681934,100.0 M,4,0.2,0.5,0.0,GAME ACTION,3866308,527159,326294,186593,775578,False
12,Bowmasters,5471344,100.0 M,4,2.0,4.1,0.0,GAME ACTION,4319351,514574,229990,98901,308525,False
13,Standoff 2,4801658,50.0 M,4,3.0,7.6,0.0,GAME ACTION,3884644,365380,135150,65422,351059,False
14,Talking Tom Gold Run,4710639,100.0 M,4,1.3,4012.8,0.0,GAME ACTION,3581634,397794,200800,116460,413948,False
15,Garena Liên Quân Mobile,4564398,50.0 M,4,1.0,2.7,0.0,GAME ACTION,3142312,386513,204843,111645,719082,False
16,Banana Kong,4496723,100.0 M,4,0.5,1.0,0.0,GAME ACTION,3497817,518453,223009,72115,185328,False
17,Crossy Road,4464668,100.0 M,4,0.1,0.2,0.0,GAME ACTION,3379550,576816,234463,68644,205194,False
18,War Robots. 6v6 Tactical Multiplayer Battles,4221389,50.0 M,3,692.7,0.6,0.0,GAME ACTION,2634036,450688,267931,164087,704645,False
19,MORTAL KOMBAT: The Ultimate Fighting Game!,4215808,50.0 M,4,0.5,1.2,0.0,GAME ACTION,2874353,457806,254154,136153,493340,False
